id,name,description
task,,
2d-classification,2D Classification,
2d-cyclist-detection,2D Cyclist Detection,
2d-human-pose-estimation,2D Human Pose Estimation,"What is Human Pose Estimation?
Human pose estimation is the process of estimating the configuration of the body (pose) from a single, typically monocular, image. Background. Human pose estimation is one of the key problems in computer vision that has been studied for well over 15 years.  The reason for its importance is the
abundance of applications that can benefit from such a technology. For example,
human pose estimation allows for higher-level reasoning in the context of human-computer interaction and activity recognition; it is also one of the basic building blocks for marker-less motion capture (MoCap) technology. MoCap technology is useful for applications ranging from character animation to clinical analysis of gait pathologies."
2d-object-detection,2D Object Detection,
2d-pose-estimation,2D Pose Estimation,
2d-semantic-segmentation,2D Semantic Segmentation,
2d-semantic-segmentation-task-1-8-classes,2D Semantic Segmentation task 1 (8 classes),
2d-semantic-segmentation-task-2-17-classes,2D Semantic Segmentation task 2 (17 classes),
2d-semantic-segmentation-task-3-25-classes,2D Semantic Segmentation task 3 (25 classes),
3d,3D,
3d-absolute-human-pose-estimation,3D Absolute Human Pose Estimation,"This task aims to solve absolute (camera-centric not root-relative) 3D human pose estimation. 

<span style=""color:grey; opacity: 0.6"">( Image credit: [RootNet](https://github.com/mks0601/3DMPPE_ROOTNET_RELEASE) )</span>"
3d-human-action-recognition,3D Action Recognition,Image: [Rahmani et al](https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Rahmani_3D_Action_Recognition_CVPR_2016_paper.pdf)
3d-anomaly-detection,3D Anomaly Detection,3D-only Anomaly Detection
3d-anomaly-detection-and-segmentation,3D Anomaly Detection and Segmentation,3D-Only Anomaly Detection and Segmentation
3d-anomaly-segmentation,3D Anomaly Segmentation,Anomaly Segmentation using 3D information only
3d-assembly,3D Assembly,
3d-aware-image-synthesis,3D-Aware Image Synthesis,
3d-bin-packing,3D Bin Packing,"As a classic NP-hard problem, the bin packing problem (1D-BPP) seeks for an assignment of a collection of items with various weights to bins. The optimal assignment houses all the items with the fewest bins such that the total weight of items in a bin is below the bin’s capacity. In its 3D version (3D-BPP), an item has a 3D “weight” corresponding
to its length, width and height."
3d-building-mesh-labeling,3D Building Mesh Labeling,
3d-canonical-hand-pose-estimation,3D Canonical Hand Pose Estimation,Image: [Lin et al](https://arxiv.org/pdf/2006.01320v1.pdf)
3d-canonicalization,3D Canonicalization,3D Canonicalization is the process of estimating a transformation-invariant  feature for classification and part segmentation tasks.
3d-car-instance-understanding,3D Car Instance Understanding,"3D Car Instance Understanding is the task of estimating properties (e.g.translation, rotation and shape) of a moving or parked vehicle on the road.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Occlusion-Net](http://openaccess.thecvf.com/content_CVPR_2019/papers/Reddy_Occlusion-Net_2D3D_Occluded_Keypoint_Localization_Using_Graph_Networks_CVPR_2019_paper.pdf) )</span>"
3d-character-animation-from-a-single-photo,3D Character Animation From A Single Photo,Image: [Weng et al](https://arxiv.org/pdf/1812.02246v1.pdf)
3d-classification,3D Classification,
3d-dense-captioning,3D dense captioning,"Dense captioning in 3D point clouds is an emerging vision-and-language task involving object-level 3D scene understanding. Apart from coarse semantic class prediction and bounding box regression as in traditional 3D object detection, 3D dense captioning aims at producing a further and finer instance-level label of natural language description on visual appearance and spatial relations for each scene object of interest."
3d-dense-shape-correspondence,3D Dense Shape Correspondence,"Finding a meaningful correspondence between two or more shapes is one of the most fundamental shape analysis tasks. The problem can be generally stated as: given input shapes S1,S2,...,SN, find a meaningful relation (or mapping) between their elements. Under different contexts, the problem has also been referred to as registration, alignment, or simply, matching. Shape correspondence is a key algorithmic component in tasks such as 3D scan alignment and space-time reconstruction, as well as an indispensable prerequisite in diverse applications including attribute transfer, shape interpolation, and statistical modeling."
3d-depth-estimation,3D Depth Estimation,Image: [monodepth2](https://github.com/nianticlabs/monodepth2)
3d-face-alignment,3D Face Alignment,
3d-face-animation,3D Face Animation,Image: [Cudeiro et al](https://arxiv.org/pdf/1905.03079v1.pdf)
3d-face-modeling,3D Face Modelling,
3d-face-reconstruction,3D Face Reconstruction,"**3D Face Reconstruction** is a computer vision task that involves creating a 3D model of a human face from a 2D image or a set of images. The goal of 3D face reconstruction is to reconstruct a digital 3D representation of a person's face, which can be used for various applications such as animation, virtual reality, and biometric identification.

<span style=""color:grey; opacity: 0.6"">( Image credit: [3DDFA_V2](https://github.com/cleardusk/3DDFA_V2) )</span>"
3d-facial-expression-recognition,3D Facial Expression Recognition,"3D facial expression recognition is the task of modelling facial expressions in 3D from an image or video.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Expression-Net](https://github.com/fengju514/Expression-Net) )</span>"
3d-facial-landmark-localization,3D Facial Landmark Localization,Image: [Zhang et al](https://arxiv.org/pdf/1801.09242v1.pdf)
3d-feature-matching,3D Feature Matching,Image: [Choy et al](https://paperswithcode.com/paper/fully-convolutional-geometric-features)
3d-geometry-perception,3D Geometry Perception,Image: [Zhao et al](https://arxiv.org/pdf/1812.10775v2.pdf)
3d-geometry-prediction,3D Geometry Prediction,
3d-hand-pose-estimation,3D Hand Pose Estimation,Image: [Zimmerman et l](https://arxiv.xsrg/pdf/1705.01389v3.pdf)
3d-holography,3D Holography,"The images that are presented here are multiplanar images that were reconstructed using a holographic display. For more details, please see: https://complightlab.com/publications/realistic_defocus_cgh/"
3d-human-dynamics,3D Human Dynamics,Image: [Zhang et al](https://openaccess.thecvf.com/content_ICCV_2019/papers/Zhang_Predicting_3D_Human_Dynamics_From_Video_ICCV_2019_paper.pdf)
3d-human-pose-and-shape-estimation,3D human pose and shape estimation,Estimate 3D human pose and shape (e.g. SMPL) from images
3d-human-pose-estimation,3D Human Pose Estimation,"**3D Human Pose Estimation** is a computer vision task that involves estimating the 3D positions and orientations of body joints and bones from 2D images or videos. The goal is to reconstruct the 3D pose of a person in real-time, which can be used in a variety of applications, such as virtual reality, human-computer interaction, and motion analysis."
3d-human-pose-estimation-in-limited-data,3D Human Pose Estimation in Limited Data,
3d-human-pose-estimation-in-limited-date,3D Human Pose Estimation in Limited Date,
3d-human-pose-tracking,3D Human Pose Tracking,
3d-human-reconstruction,3D Human Reconstruction,
3d-human-shape-estimation,3D Human Shape Estimation,
3d-inpainting,3D Inpainting,"**3D Inpainting** is the removal of unwanted objects
from a 3D scene, such that the replaced region is visually
plausible and consistent with its context."
3d-instance-segmentation-1,3D Instance Segmentation,Image: [OccuSeg](https://arxiv.org/pdf/2003.06537v3.pdf)
3d-interacting-hand-pose-estimation,3D Interacting Hand Pose Estimation,
3d-lane-detection,3D Lane Detection,"The goal of **3D Lane Detection** is to perceive lanes that provide guidance for autonomous vehicles. A lane can be represented as a visible laneline or a conceptual centerline. Furthermore, a lane obtains extra attributes from the understanding of the surrounding environment.

<span style=""color:grey; opacity: 0.6"">( Image credit: [OpenLane-V2](https://github.com/OpenDriveLab/OpenLane-V2 ) )</span>"
3d-medical-imaging-segmentation,3D Medical Imaging Segmentation,"3D medical imaging segmentation is the task of segmenting medical objects of interest from 3D medical imaging.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Elastic Boundary Projection for 3D Medical Image Segmentation](https://github.com/twni2016/Elastic-Boundary-Projection) )</span>"
3d-molecule-generation,3D Molecule Generation,
3d-multi-object-tracking,3D Multi-Object Tracking,Image: [Weng et al](https://arxiv.org/pdf/1907.03961v4.pdf)
3d-multi-person-human-pose-estimation,3D Multi-Person Human Pose Estimation,
3d-multi-person-mesh-recovery,3D Multi-Person Mesh Recovery,
3d-multi-person-pose-estimation,3D Multi-Person Pose Estimation,"This task aims to solve root-relative 3D multi-person pose estimation. No human bounding box and root joint coordinate groundtruth are used in testing time.

<span style=""color:grey; opacity: 0.6"">( Image credit: [RootNet](https://github.com/mks0601/3DMPPE_ROOTNET_RELEASE) )</span>"
3d-multi-person-pose-estimation-absolute,3D Multi-Person Pose Estimation (absolute),"This task aims to solve absolute 3D multi-person pose Estimation (camera-centric coordinates). No ground truth human bounding box and human root joint coordinates are used during testing stage.

<span style=""color:grey; opacity: 0.6"">( Image credit: [RootNet](https://github.com/mks0601/3DMPPE_ROOTNET_RELEASE) )</span>"
3d-multi-person-pose-estimation-root-relative,3D Multi-Person Pose Estimation (root-relative),"This task aims to solve root-relative 3D multi-person pose estimation (person-centric coordinate system). No ground truth human bounding box and human root joint coordinates are used during testing stage.

<span style=""color:grey; opacity: 0.6"">( Image credit: [RootNet](https://github.com/mks0601/3DMPPE_ROOTNET_RELEASE) )</span>"
3d-object-classification,3D Object Classification,"3D Object Classification is the task of predicting the class of a 3D object point cloud.  It is a voxel level prediction where each voxel is classified into a category. The popular benchmark for this task is the ModelNet dataset. The models for this task are usually evaluated with the Classification Accuracy metric.

Image: [Sedaghat et al](https://arxiv.org/pdf/1604.03351v2.pdf)"
3d-object-detection,3D Object Detection,"**3D Object Detection** is a task in computer vision where the goal is to identify and locate objects in a 3D environment based on their shape, location, and orientation. It involves detecting the presence of objects and determining their location in the 3D space in real-time. This task is crucial for applications such as autonomous vehicles, robotics, and augmented reality.

<span style=""color:grey; opacity: 0.6"">( Image credit: [AVOD](https://github.com/kujason/avod) )</span>"
3d-object-detection-from-monocular-images,3D Object Detection From Monocular Images,"This is the task of detecting 3D objects from monocular images (as opposed to LiDAR based counterparts). It is usually associated with autonomous driving based tasks.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Orthographic Feature Transform for Monocular 3D Object Detection](https://arxiv.org/pdf/1811.08188v1.pdf) )</span>"
3d-object-detection-from-stereo-images,3D Object Detection From Stereo Images,"Estimating oriented 3D bounding boxes from Stereo Cameras only.

Image: [You et al](https://openreview.net/pdf?id=BJedHRVtPB)"
3d-object-recognition,3D Object Recognition,"3D object recognition is the task of recognising objects from 3D data.

Note that there are related tasks you can look at, such as [3D Object Detection](https://paperswithcode.com/task/3d-object-detection) which have more leaderboards.

<span style=""color:grey; opacity: 0.6"">(Image credit: [Look Further to Recognize Better](https://arxiv.org/pdf/1907.12924v1.pdf))</span>"
3d-object-reconstruction,3D Object Reconstruction,Image: [Choy et al](https://arxiv.org/pdf/1604.00449v1.pdf)
3d-object-reconstruction-from-a-single-image,3D Object Reconstruction From A Single Image,Image: [Fan et al](https://arxiv.org/pdf/1612.00603v2.pdf)
3d-object-retrieval,3D Object Retrieval,Source: [He et al](https://arxiv.org/pdf/1803.06189v1.pdf)
3d-object-super-resolution,3D Object Super-Resolution,"3D object super-resolution is the task of up-sampling 3D objects.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Multi-View Silhouette and Depth Decomposition for High Resolution 3D Object Representation](https://github.com/EdwardSmith1884/Multi-View-Silhouette-and-Depth-Decomposition-for-High-Resolution-3D-Object-Representation) )</span>"
3d-object-tracking,3D Object Tracking,
3d-part-segmentation,3D Part Segmentation,"Segmenting 3D object parts

<span style=""color:grey; opacity: 0.6"">( Image credit: [MeshCNN: A Network with an Edge](https://arxiv.org/pdf/1809.05910v2.pdf) )</span>"
3d-place-recognition,3D Place Recognition,Pointcloud-based place recognition and retrieval
3d-plane-detection,3D Plane Detection,Image: [Liu et al](https://arxiv.org/pdf/1812.04072v2.pdf)
3d-point-cloud-classification,3D Point Cloud Classification,Image: [Qi et al](https://arxiv.org/pdf/1612.00593v2.pdf)
3d-point-cloud-classification-linear,3D Point Cloud Classification Linear Evaluation,
3d-point-cloud-data-augmentation,3D Point Cloud Data Augmentation,
3d-point-cloud-interpolation,3D Point Cloud Interpolation,"Point cloud interpolation is a fundamental problem for 3D computer vision. Given a low temporal resolution (frame rate) point cloud sequence, the target of interpolation is to generate a smooth point cloud sequence with high temporal resolution (frame rate)."
3d-point-cloud-linear-classification,3D Point Cloud Linear Classification,Training a linear classifier(e.g. SVM) on the embeddings/representations of 3D point clouds. The embeddings/representations are usually trained in an unsupervised manner.
3d-point-cloud-linear-evaluation,3D Point Cloud Linear Evaluation,
3d-point-cloud-linear-svm-classification,3D Point Cloud Linear SVM Classification,
3d-point-cloud-matching,3D Point Cloud Matching,Image: [Gojic et al](https://openaccess.thecvf.com/content_CVPR_2019/papers/Gojcic_The_Perfect_Match_3D_Point_Cloud_Matching_With_Smoothed_Densities_CVPR_2019_paper.pdf)
3d-point-cloud-part-segmentation,3D Point Cloud Part Segmentation,"3D point cloud part segmentation on datasets like ShapeNet Part, etc."
3d-point-cloud-reconstruction,3D Point Cloud Reconstruction,Encoding and reconstruction of 3D point clouds.
3d-point-cloud-reinforcement-learning,3D Point Cloud Reinforcement Learning,Reinforcement learning / robot learning from 3D point clouds
3d-pose-estimation,3D Pose Estimation,"Image credit: [GSNet: Joint Vehicle Pose and Shape Reconstruction with Geometrical and Scene-aware Supervision
, ECCV'20](https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123600511.pdf)"
3d-prostate-segmentation,3D Prostate Segmentation,
3d-radviz,3D Radviz,
3d-reconstruction,3D Reconstruction,"**3D Reconstruction** is the task of creating a 3D model or representation of an object or scene from 2D images or other data sources. The goal of 3D reconstruction is to create a virtual representation of an object or scene that can be used for a variety of purposes, such as visualization, animation, simulation, and analysis. It can be used in fields such as computer vision, robotics, and virtual reality.

Image: [Gwak et al](https://arxiv.org/pdf/1705.10904v2.pdf)"
3d-rgb-anomaly-detection,3D + RGB Anomaly Detection,3D + RGB Anomaly Detection
3d-rgb-anomaly-segmentation,3D + RGB Anomaly Segmentation,3D + RGB Anomaly Segmentation
3d-room-layouts-from-a-single-rgb-panorama,3D Room Layouts From A Single RGB Panorama,Image: [Zou et al](https://arxiv.org/pdf/1803.08999v1.pdf)
3d-rotation-estimation,3D Rotation Estimation,
3d-scene-graph-alignment,3D Scene Graph Alignment,
3d-scene-graph-generation,3d scene graph generation,
3d-scene-reconstruction,3D Scene Reconstruction,Creating 3D scene either using conventional SFM pipelines or latest deep learning approaches.
3d-semantic-instance-segmentation,3D Semantic Instance Segmentation,Image: [3D-SIS](https://github.com/Sekunde/3D-SIS)
3d-semantic-scene-completion,3D Semantic Scene Completion,"This task was introduced in ""Semantic Scene Completion from a Single Depth Image"" (https://arxiv.org/abs/1611.08974) at CVPR 2017 . The target is to infer the dense 3D voxelized semantic scene from an incompleted 3D input (e.g. point cloud, depth map) and an optional RGB image.  A recent summary can be found in the paper  ""3D Semantic Scene Completion: a Survey"" (https://arxiv.org/abs/2103.07466), published at IJCV 2021."
3d-semantic-scene-completion-from-a-single-2d,3D Semantic Scene Completion from a single 2D image,
3d-semantic-scene-completion-from-a-single,3D Semantic Scene Completion from a single RGB image,This task relies on a single RGB image to infer the dense 3D voxelized semantic scene.
3d-semantic-segmentation,3D Semantic Segmentation,"**3D Semantic Segmentation** is a computer vision task that involves dividing a 3D point cloud or 3D mesh into semantically meaningful parts or regions. The goal of 3D semantic segmentation is to identify and label different objects and parts within a 3D scene, which can be used for applications such as robotics, autonomous driving, and augmented reality."
3d-shape-retrieval,3D Shape Classification,Image: [Sun et al](https://arxiv.org/pdf/1804.04610v1.pdf)
3d-shape-generation,3D Shape Generation,Image: [Mo et al](https://arxiv.org/pdf/1908.00575v1.pdf)
3d-shape-modeling,3D Shape Modeling,Image: [Gkioxari et al](https://arxiv.org/pdf/1906.02739v2.pdf)
3d-shape-recognition,3D Shape Recognition,Image: [Wei et al](https://arxiv.org/pdf/1908.10098v1.pdf)
3d-shape-reconstruction,3D Shape Reconstruction,"Image credit: [GSNet: Joint Vehicle Pose and Shape Reconstruction with Geometrical and Scene-aware Supervision
, ECCV'20](https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123600511.pdf)"
3d-shape-reconstruction-from-a-single-2d,3D Shape Reconstruction From A Single 2D Image,Image: [Liao et al](https://arxiv.org/pdf/1811.12016v1.pdf)
3d-shape-reconstruction-from-videos,3D Shape Reconstruction from Videos,
3d-shape-representation,3D Shape Representation,Image: [MeshNet](https://arxiv.org/pdf/1811.11424v1.pdf)
3d-shape-retrieval-1,3D Shape Retrieval,
3d-single-object-tracking,3D Single Object Tracking,"3D tracking of a single object, based on an initial 3D bounding box, provided to the tracker. 3D single object tracking is commonly performed using point cloud data from Lidars, as it provides valuable depth information, which is lost in camera images.
However, irregular point cloud structure and an increasing point sparsity with distance makes Lidar-based 3D single object tracking a nontrivial task."
3d-surface-generation,3D Surface Generation,Image: [AtlasNet](https://arxiv.org/pdf/1802.05384v3.pdf)
3d-unsupervised-domain-adaptation,3D Unsupervised Domain Adaptation,
3d-volumetric-reconstruction,3D Volumetric Reconstruction,Image: [Grinvald et al](https://arxiv.org/pdf/1903.00268.pdf)
3d-wireframe-reconstruction,3D Wireframe Reconstruction,
4-ary-relation-extraction,4-ary Relation Extraction,
4d-reconstruction,4D reconstruction,
4d-spatio-temporal-semantic-segmentation,4D Spatio Temporal Semantic Segmentation,Image: [Choy et al](https://paperswithcode.com/paper/4d-spatio-temporal-convnets-minkowski)
5w1h,5W1H,
6d-pose-estimation-1,6D Pose Estimation,Image: [Zeng et al](https://arxiv.org/pdf/1609.09475v3.pdf)
6d-pose-estimation,6D Pose Estimation using RGB,"**6D Pose Estimation using RGB** refers to the task of determining the six degree-of-freedom (6D) pose of an object in 3D space based on RGB images. This involves estimating the position and orientation of an object in a scene, and is a fundamental problem in computer vision and robotics. In this task, the goal is to estimate the 6D pose of an object given an RGB image of the object and the scene, which can be used for tasks such as robotic manipulation, augmented reality, and scene reconstruction.

<span style=""color:grey; opacity: 0.6"">( Image credit: [Segmentation-driven 6D Object Pose Estimation](https://github.com/cvlab-epfl/segmentation-driven-pose) )</span>"
6d-pose-estimation-using-rgbd,6D Pose Estimation using RGBD,Image: [Zeng et al](https://arxiv.org/pdf/1609.09475v3.pdf)
abbreviationdetection,AbbreviationDetection,
abnormal-event-detection-in-video,Abnormal Event Detection In Video,"**Abnormal Event Detection In Video** is a challenging task in computer vision, as the definition of what an abnormal event looks like depends very much on the context. For instance, a car driving by on the street is regarded as a normal event, but if the car enters a pedestrian area, this is regarded as an abnormal event. A person running on a sports court (normal event) versus running outside from a bank (abnormal event) is another example. Although what is considered abnormal depends on the context, we can generally agree that abnormal events should be unexpected events that occur less often than familiar (normal) events


<span class=""description-source"">Source: [Unmasking the abnormal events in video ](https://arxiv.org/abs/1705.08182)</span>

Image: [Ravanbakhsh et al](https://arxiv.org/pdf/1708.09644v1.pdf)"
abstention-prediction,Abstention Prediction,
abstract-algebra,Abstract Algebra,
abstract-anaphora-resolution,Abstract Anaphora Resolution,"Abstract Anaphora Resolution aims to resolve nominal expressions (e.g., this result, those two actions) and pronominal expressions (e.g. this, that, it) that refer to abstract-object-antecedents such as facts, events, plans, actions, or situations."
abstract-argumentation,Abstract Argumentation,Identifying argumentative statements from natural language dialogs.
abstractive-dialogue-summarization,Abstractive Dialogue Summarization,
abstractive-question-answering,abstractive question answering,
abstractive-text-summarization,Abstractive Text Summarization,"**Abstractive Text Summarization** is the task of generating a short and concise summary that captures the salient ideas of the source text. The generated summaries potentially contain new phrases and sentences that may not appear in the source text.


<span class=""description-source"">Source: [Generative Adversarial Network for Abstractive Text Summarization ](https://arxiv.org/abs/1711.09357)</span>

Image credit: [Abstractive Text Summarization using Sequence-to-sequence RNNs and Beyond](https://arxiv.org/pdf/1602.06023v5.pdf)"
abuse-detection,Abuse Detection,"Abuse detection is the task of identifying abusive behaviors, such as hate speech, offensive language, sexism and racism, in utterances from social media platforms (Source: https://arxiv.org/abs/1802.00385)."
abusive-language,Abusive Language,
accented-speech-recognition,Accented Speech Recognition,
accident-anticipation,Accident Anticipation,
acne-severity-grading,Acne Severity Grading,
acoustic-echo-cancellation,Acoustic echo cancellation,
acoustic-modelling,Acoustic Modelling,
acoustic-novelty-detection,Acoustic Novelty Detection,"Detect novel events given acoustic signals, either in domestic or outdoor environments."
acoustic-question-answering,Acoustic Question Answering,
acoustic-scene-classification,Acoustic Scene Classification,"The goal of acoustic scene classification is to classify a test recording into one of the provided predefined classes that characterizes the environment in which it was recorded.

Source: [DCASE 2019](http://dcase.community/challenge2019/task-acoustic-scene-classification)
Source: [DCASE 2018](https://dcase.community/challenge2018/task-acoustic-scene-classification)"
acoustic-unit-discovery,Acoustic Unit Discovery,
acrobot,Acrobot,"The acrobot system includes two joints and two links, where the joint between the two links is actuated. Initially, the links are hanging downwards, and the goal is to swing the end of the lower link up to a given height."
actin-detection,Actin Detection,
actionable-phrase-detection,Actionable Phrase Detection,
action-analysis,Action Analysis,
action-anticipation,Action Anticipation,"Next action anticipation is defined as observing 1, ... , T frames and predicting the action that happens after a gap of T_a seconds. It is important to note that a new action starts after T_a seconds that is not seen in the observed frames. Here T_a=1 second."
action-assessment,Action Assessment,
action-classification,Action Classification,Image source: [The Kinetics Human Action Video Dataset](https://arxiv.org/pdf/1705.06950.pdf)
action-decisions-classification,Action Decisions Classification,
action-detection,Action Detection,"Action Detection aims to find both where and when an action occurs within a video clip and classify what the action is taking place. Typically results are given in the form of action tublets, which are action bounding boxes linked across time in the video. This is related to temporal localization, which seeks to identify the start and end frame of an action, and action recognition,  which seeks only to classify which action is taking place and typically assumes a trimmed video."
action-generation,Action Generation,
action-item-classification,Action Item Classification,
action-localization,Action Localization,"Action Localization is finding the spatial and temporal co ordinates for an action in a video. An action localization model will identify which frame an action start and ends in video and return the x,y coordinates of an action. Further the co ordinates will change  when the object performing action  undergoes a displacement."
action-parsing,Action Parsing,"Action parsing is the task of, given a video or still image, assigning each frame or image a label describing the action in that frame or image."
action-quality-assessment,Action Quality Assessment,Assessing/analyzing/quantifying how well an action was performed.
action-recognition-in-videos,Action Recognition,"**Action Recognition** is a computer vision task that involves recognizing human actions in videos or images. The goal is to classify and categorize the actions being performed in the video or image into a predefined set of action classes.

In the video domain, it is an open question whether training an action classification network on a sufficiently large dataset, will give a similar boost in performance when applied to a different temporal task or dataset. The challenges of building video datasets has meant that most popular benchmarks for action recognition are small, having on the order of 10k videos. 

Please note some benchmarks may be located in the [Action Classification](https://paperswithcode.com/task/action-classification) or [Video Classification](https://paperswithcode.com/task/video-classification) tasks, e.g. Kinetics-400."
action-recognition-in-still-images,Action Recognition In Still Images,
action-recognition-in-videos-2,Action Recognition In Videos,"**Action Recognition in Videos** is a task in computer vision and pattern recognition where the goal is to identify and categorize human actions performed in a video sequence. The task involves analyzing the spatiotemporal dynamics of the actions and mapping them to a predefined set of action classes, such as running, jumping, or swimming."
action-recognition-on-hmdb-51,Action Recognition on HMDB-51,
action-segmentation,Action Segmentation,"**Action Segmentation** is a challenging problem in high-level video understanding. In its simplest form, Action Segmentation aims to segment a temporally untrimmed video by time and label each segmented part with one of pre-defined action labels. The results of Action Segmentation can be further used as input to various applications, such as video-to-text and action localization.


<span class=""description-source"">Source: [TricorNet: A Hybrid Temporal Convolutional and Recurrent Network for Video Action Segmentation ](https://arxiv.org/abs/1705.07818)</span>"
action-spotting,Action Spotting,
action-triplet-detection,Action Triplet Detection,"Detecting and localizing bounding boxes of tools and anatomies. Then prediction their relationship as action triplet <instrument, verb, target>"
action-triplet-recognition,Action Triplet Recognition,"Recognising action as a triplet of subject verb and object. Example HOI = Human Object Interaction, Surgical IVT = Instrument Verb Target, etc."
action-understanding,Action Understanding,
action-unit-detection,Action Unit Detection,"Action unit detection is the task of detecting action units from a video - for example, types of facial action units (lip tightening, cheek raising) from a video of a face.

<span style=""color:grey; opacity: 0.6"">( Image credit: [AU R-CNN](https://arxiv.org/pdf/1812.05788v2.pdf) )</span>"
activation-function-synthesis,Activation Function Synthesis,
active-learning,Active Learning,"**Active Learning** is a paradigm in supervised machine learning which uses fewer training examples to achieve better optimization by iteratively training a predictor, and using the predictor in each iteration to choose the training examples which will increase its chances of finding better configurations and at the same time improving the accuracy of the prediction model


<span class=""description-source"">Source: [Polystore++: Accelerated Polystore System for Heterogeneous Workloads ](https://arxiv.org/abs/1905.10336)</span>"
activeness-detection,Activeness Detection,Determining activeness via images
active-object-detection,Active Object Detection,Active Learning for Object Detection
active-object-localization,Active Object Localization,
active-observation-completion,Active Observation Completion,
active-speaker-localization,Active Speaker Localization,"Active Speaker Localization (ASL) is the process of spatially localizing an active speaker (talker) in an environment using either audio, vision or both."
activity-detection,Activity Detection,Detecting activities in extended videos.
activity-prediction,Activity Prediction,Predict human activities in videos
activity-recognition,Activity Recognition,"Human **Activity Recognition** is the problem of identifying events performed by humans given a video input. It is formulated as a binary (or multiclass) classification problem of outputting activity class labels. Activity Recognition is an important problem with many societal applications including smart surveillance, video search/retrieval, intelligent robots, and other monitoring systems.


<span class=""description-source"">Source: [Learning Latent Sub-events in Activity Videos Using Temporal Attention Filters ](https://arxiv.org/abs/1605.08140)</span>"
activity-recognition-in-videos,Activity Recognition In Videos,
acute-stroke-lesion-segmentation,Acute Stroke Lesion Segmentation,
adampennington38,AdamPennington38,
additive-models,Additive models,
add-po,Add - PO,
add-pq,Add - PQ,
ad-hoc-information-retrieval,Ad-Hoc Information Retrieval,Ad-hoc information retrieval refers to the task of returning information resources related to a user query formulated in natural language.
