,label-coarse,label-fine,text
0,0,0,How did serfdom develop in and then leave Russia ?
1,1,1,What films featured the character Popeye Doyle ?
2,0,0,How can I find a list of celebrities ' real names ?
3,1,2,What fowl grabs the spotlight after the Chinese Year of the Monkey ?
4,2,3,What is the full form of .com ?
5,3,4,What contemptible scoundrel stole the cork from my lunch ?
6,3,5,What team did baseball 's St. Louis Browns become ?
7,3,6,What is the oldest profession ?
8,0,7,What are liver enzymes ?
9,3,4,Name the scar-faced bounty hunter of The Old West .
10,4,8,When was Ozzy Osbourne born ?
11,0,9,Why do heavier objects travel downhill faster ?
12,3,4,Who was The Pride of the Yankees ?
13,3,4,Who killed Gandhi ?
14,1,10,What is considered the costliest disaster the insurance industry has ever faced ?
15,5,11,What sprawling U.S. state boasts the most airports ?
16,0,12,What did the only repealed amendment to the U.S. Constitution deal with ?
17,4,13,How many Jews were executed in concentration camps during WWII ?
18,0,7,What is `` Nine Inch Nails '' ?
19,0,7,What is an annotated bibliography ?
20,4,8,What is the date of Boxing Day ?
21,1,14,What articles of clothing are tokens in Monopoly ?
22,3,4,Name 11 famous martyrs .
23,0,12,What 's the Olympic motto ?
24,0,12,What is the origin of the name ` Scarlett ' ?
25,1,15,What 's the second-most-used vowel in English ?
26,3,4,Who was the inventor of silly putty ?
27,5,14,What is the highest waterfall in the United States ?
28,1,14,Name a golf course in Myrtle Beach .
29,5,11,Which two states enclose Chesapeake Bay ?
30,2,3,What does the abbreviation AIDS stand for ?
31,1,14,What does a spermologer collect ?
32,4,13,How many points make up a perfect fivepin bowling score ?
33,3,5,Which company that manufactures video-game hardware sells the `` super system '' ?
34,4,13,How many Community Chest cards are there in Monopoly ?
35,0,12,What do Mormons believe ?
36,4,8,When did the neanderthal man live ?
37,1,16,In what religion was Isis the nature goddess ?
38,5,14,Where do the adventures of `` The Swiss Family Robinson '' take place ?
39,1,2,What relative of the racoon is sometimes known as the cat-bear ?
40,0,0,How can I register my website in Yahoo for free ?
41,1,14,What was cash-conscious Colonel Edwin L. Drake the first to drill ?
42,4,13,How many people in the world speak French ?
43,4,13,How many inches over six feet is the Venus de Milo ?
44,0,0,How do they find or choose witnesses to an execution ?
45,3,4,What 1920s cowboy star rode Tony the Wonder Horse ?
46,1,17,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?
47,3,5,What ISPs exist in the Caribbean ?
48,0,0,How do you ask a total stranger out on a date ?
49,1,14,What weapon is the mythological character Apollo most proficient with ?
50,5,18,What country do the Galapagos Islands belong to ?
51,0,7,What is ethology ?
52,3,4,Who was the prophet of the Muslim people ?
53,0,12,Where did the term `` 86ed '' come from ?
54,3,4,Who is Snoopy 's arch-enemy ?
55,0,7,What is the nature of learning ?
56,1,19,What 's the only color Johnny Cash wears on stage ?
57,1,20,What 's the term for a young fox ?
58,5,11,What U.S. state lived under six flags ?
59,0,7,What is the Kashmir issue ?
60,5,14,Where is the Loop ?
61,0,7,What does `` extended definition '' mean and how would one write a paper on it ?
62,5,18,What country 's capital is Tirana ?
63,0,7,What is titanium ?
64,3,4,Who do Herb and Tootsie live next door to ?
65,5,21,Which city has the oldest relationship as a sister city with Los Angeles ?
66,0,7,What is a caldera ?
67,0,9,Why do people get calluses ?
68,5,14,What are the names of the tourist attractions in Reims ?
69,0,9,What are Cushman and Wakefield known for ?
70,5,14,What body of water does the Danube River flow into ?
71,3,4,Who is the founder of Scientology ?
72,1,14,What does the six-footed Musca domestica become when it enters a house ?
73,0,12,What is the history of skateboarding ?
74,3,4,Who starred in Singing in the Rain and The Singing Nun ?
75,0,0,How do I make fuel bricks from recycled newspaper ?
76,3,4,What 19th-century painter died in the Marquesas Islands ?
77,1,22,The corpus callosum is in what part of the body ?
78,0,0,How do I log on to home page at Headquarters U.S. European Command ?
79,5,18,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP ."
80,1,14,What is Nebraska 's most valuable resource ?
81,4,13,How many species of the Great White shark are there ?
82,0,12,What is the origin of head lice ?
83,5,11,What is the nickname for the state of Mississippi ?
84,1,2,What was the first domesticated bird ?
85,4,13,How many villi are found in the small intestine ?
86,5,18,What country did King Wenceslas rule ?
87,1,23,What is a fear of shadows ?
88,3,4,Who were the five Marx brothers ?
89,4,8,In which year was New Zealand excluded from the ANZUS alliance ?
90,4,8,When did CNN begin broadcasting ?
91,0,9,What causes the body to shiver in cold temperatures ?
92,0,7,What are bear and bull markets ?
93,1,1,What J.R.R. Tolkien book features Bilbo Baggins as the central character ?
94,0,7,What is `` dew point '' ?
95,0,7,What is the meaning of Jesus ?
96,3,5,What company 's logo is a `` W '' in a circle ?
97,0,7,What is the definition of a cascade ?
98,4,8,When did Rococo painting and architecture flourish ?
99,5,18,What country 's national passenger rail system is called Via ?
100,3,4,Who invented Make-up ?
101,0,12,What is the origin of the word `` attic '' ?
102,0,12,What did Delilah do to Samson 's hair ?
103,1,2,What kind of animals were in the Paleozoic era ?
104,3,4,Which of the following was Rhodes Scholar ?
105,3,4,Who comprised the now-defunct comic book team known as the Champions ?
106,0,0,How do you make a paintball ?
107,5,11,What U.S. state is Fort Knox in ?
108,1,2,What is a female rabbit called ?
109,5,24,Where is the highest point in Japan ?
110,0,12,Where do chihuahuas come from ?
111,5,14,Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?
112,5,14,What are the world 's four oceans ?
113,1,1,What 's the only work by Michelangelo that bears his signature ?
114,1,2,What is the largest snake in the world ?
115,1,1,In what medium is Stuart Hamblen considered to be the first singing cowboy ?
116,5,14,Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?
117,4,25,How much money does a back injury lawsuit get ?
118,1,20,What 's the common name for acetylsalicylic acid ?
119,0,7,What does the Georgetown `` Hoya '' mean ?
120,5,14,Where can I find a list of `` classic '' books 5th and 6th graders should read ?
121,1,26,Which two products use a tiger as their symbol ?
122,0,0,How is the election of a new Pope announced to the world ?
123,4,27,How long does it take for your blood to make one complete trip through the body ?
124,0,0,How do chickens have baby chicks ?
125,0,12,What is the historical relationship of Catholic Church and bingo ?
126,0,0,How was the element calcium named ?
127,3,4,What crooner joined The Andrews Sisters for Pistol Packin Mama ?
128,3,5,What piano company claims its product is the `` Instrument of the immortals '' ?
129,4,8,When did the Bounty mutiny take place ?
130,1,1,What novel inspired the movie BladeRunner ?
131,0,7,What is a transistor ?
132,1,1,What is a film starring Jude Law ?
133,1,2,What Hollywood dog died in the arms of Jean Harlow in 1932 ?
134,1,28,What are the most common elements in the Earth 's crust ?
135,4,25,"How much would it cost to purchase a 2-foot-square party tent , with sides , ?"
136,3,4,What actress has received the most Oscar nominations ?
137,0,7,What are equity securities ?
138,0,7,What is gymnophobia ?
139,4,13,How many years do fossils take to form ?
140,5,14,Where is the Orinoco ?
141,1,2,What was the name of the `` Little Rascals '' dog ?
142,5,21,"What city boasts Penn 's Landing , on the banks of the Delaware river ?"
143,1,1,What Broadway musical was inspired by Cervantes 's Don Quixote ?
144,0,12,"What is the origin of the word , JJ ."
145,4,13,How many hostages were killed in the Entebbe raid ?
146,0,0,How you can raise your IQ ?
147,2,3,What does INRI stand for when used on Jesus ' cross ?
148,3,5,Who produces Spumante ?
149,3,4,Who earns their money the hard way ?
150,3,4,Who founded the People 's Temple Commune ?
151,3,4,What athlete makes the most money from sports merchandise sales ?
152,4,13,How many bends are there in a standard paper clip ?
153,3,4,Who discovered electricity ?
154,1,22,What part of your body contains the corpus callosum ?
155,3,4,Who was the first American in space ?
156,5,18,What two South American countries do n't border Brazil ?
157,1,1,What album put The Beatles on the cover of Time in 1967 ?
158,1,1,"What poem contains the line , `` grow old with me the best is yet to be '' ."
159,0,7,What is a dental root canal ?
160,1,10,What war did the Wanna-Go-Home Riots occur after ?
161,4,8,What is the busiest air travel season ?
162,1,22,What 's the colored part of the eye called ?
163,0,7,What are hook worms ?
164,5,14,Where is the Rose Bowl played ?
165,3,5,Which Japanese car maker had its biggest percentage of sale in the domestic market ?
166,3,4,Who is the mayor of Marbella ?
167,5,14,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?"
168,4,8,In what year did Thatcher become prime minister ?
169,4,13,How many months does it take the moon to revolve around the Earth ?
170,5,14,Where are the 49 steps ?
171,4,8,In what year was De Gaulle elected president of France ?
172,3,4,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
173,3,4,Who directed `` Jaws '' ?
174,1,1,On what T.V. show could Tom Terrific be found ?
175,3,5,What Indian tribe is F Troop perpetually doing battle with ?
176,0,12,Where did Indian Pudding come from ?
177,0,9,Why do some clothing labels say `` Use a nonchlorine bleach '' ?
178,4,13,How many colonies were involved in the American Revolution ?
